Commodity,Quantity,Filled Quantity,Is Filled,Status,Unit Price,Unit Price Currency,Sub Total,Fee Rate,Fee Amount,incoTerm
Adzuki bean,"124,530",,no,,,,,,,
,"66,155",0.493,no,PartiallyFilled,76.5,USD,"5,060,857.5",0.122,"617,424.615",DAP (Delivered at Place)
,"8,479",0.169,no,Rejected,63.18,USD,"535,703.22",0.302,"161,782.372",FCA (Free Carrier)
,"49,896",0.235,no,Rejected,93.13,TRY,"4,646,814.48",0.111,"515,796.407",FCA (Free Carrier)
Cocoa,"222,883",,no,,,,,,,
,"73,888",0.362,no,PartiallyFilled,12.52,JPY,"925,077.76",0.266,"246,070.684",DAP (Delivered at Place)
,"2,245",0.916,no,Open,67.48,AUD,"151,492.6",0.361,"54,688.829",FAS (Free Alongside Ship)
,"45,103",0.597,no,Filled,37.81,TRY,"1,705,344.43",0.178,"303,551.309",DDP (Delivered Duty Paid)
,"70,544",0.287,no,Rejected,84.09,ARS,"5,932,044.96",0.309,"1,833,001.893",EXW (Ex Works)
,"31,103",0.008,no,Rejected,6.74,NZD,"209,634.22",0.168,"35,218.549",DPU (Delivered at Place Unloaded)
Coffee C,"311,818",,no,,,,,,,
,"39,157",0.455,no,Filled,77.18,BRL,"3,022,137.26",0.21,"634,648.825",DPU (Delivered at Place Unloaded)
,"37,214",0.583,no,PartiallyFilled,93.75,EUR,"3,488,812.5",0.326,"1,137,352.875",CPT (Carriage Paid To)
,"72,571",0.021,no,PartiallyFilled,23.27,JPY,"1,688,727.17",0.109,"184,071.262",DAP (Delivered at Place)
,"30,903",0.91,no,Filled,50.7,BRL,"1,566,782.1",0.336,"526,438.786",CPT (Carriage Paid To)
,"82,317",0.327,no,Open,2.18,HKD,"179,451.06",0.33,"59,218.85",DPU (Delivered at Place Unloaded)
,"49,656",0.543,no,Open,61.82,CHF,"3,069,733.92",0.359,"1,102,034.477",DAP (Delivered at Place)
Corn,"217,938",,no,,,,,,,
,"80,113",0.369,no,Rejected,60.59,TRY,"4,854,046.67",0.235,"1,140,700.967",DPU (Delivered at Place Unloaded)
,"34,695",0.049,no,Open,67.84,JPY,"2,353,708.8",0.282,"663,745.882",FAS (Free Alongside Ship)
,"64,857",0.502,no,Open,90.59,USD,"5,875,395.63",0.136,"799,053.806",DAP (Delivered at Place)
,"38,273",0.689,no,Rejected,72.55,CAD,"2,776,706.15",0.234,"649,749.239",CPT (Carriage Paid To)
Cotton No.2,"293,334",,no,,,,,,,
,"9,122",0.199,no,Filled,9.98,NZD,"91,037.56",0.248,"22,577.315",EXW (Ex Works)
,"68,744",0.504,no,Open,77.5,AUD,"5,327,660",0.334,"1,779,438.44",EXW (Ex Works)
,"64,284",0.654,no,Filled,31.95,CHF,"2,053,873.8",0.128,"262,895.846",DDP (Delivered Duty Paid)
,"65,294",0.328,no,Rejected,67.71,TRY,"4,421,056.74",0.103,"455,368.844",DDP (Delivered Duty Paid)
,"85,890",0.864,no,Open,77.66,EUR,"6,670,217.4",0.315,"2,101,118.481",FCA (Free Carrier)
Frozen Concentrated Orange Juice,"109,167",,no,,,,,,,
,"35,632",0.617,no,Filled,27.47,ARS,"978,811.04",0.21,"205,550.318",DPU (Delivered at Place Unloaded)
,"5,446",0.697,no,Open,98.83,CAD,"538,228.18",0.131,"70,507.892",FCA (Free Carrier)
,"31,682",0.315,no,PartiallyFilled,60.97,AUD,"1,931,651.54",0.2,"386,330.308",FCA (Free Carrier)
,"13,932",0.237,no,Open,8.88,TRY,"123,716.16",0.293,"36,248.835",DPU (Delivered at Place Unloaded)
,"22,475",0.388,no,PartiallyFilled,61.39,CHF,"1,379,740.25",0.397,"547,756.879",FCA (Free Carrier)
Milk,"196,095",,no,,,,,,,
,"42,158",0.562,no,Rejected,55.41,AUD,"2,335,974.78",0.359,"838,614.946",FAS (Free Alongside Ship)
,"34,420",0.498,no,Open,38.2,TRY,"1,314,844",0.207,"272,172.708",FCA (Free Carrier)
,"9,281",0.885,no,Filled,98.81,HKD,"917,055.61",0.253,"232,015.069",DAP (Delivered at Place)
,"35,247",0.077,no,Open,66.8,CHF,"2,354,499.6",0.277,"652,196.389",FCA (Free Carrier)
,"74,989",0.648,no,PartiallyFilled,21.24,CHF,"1,592,766.36",0.147,"234,136.655",CPT (Carriage Paid To)
Oats,"16,480",,no,,,,,,,
,"16,480",0.141,no,Filled,65.68,MXN,"1,082,406.4",0.295,"319,309.888",CPT (Carriage Paid To)
Rapeseed,"440,267",,no,,,,,,,
,"60,828",0.642,no,PartiallyFilled,1.11,GBP,"67,519.08",0.243,"16,407.136",DAP (Delivered at Place)
,"70,758",0.077,no,Open,93.53,GBP,"6,617,995.74",0.177,"1,171,385.246",DAP (Delivered at Place)
,"40,372",0.545,no,Open,76.5,CAD,"3,088,458",0.113,"348,995.754",FCA (Free Carrier)
,"9,124",0.487,no,Open,28,BRL,"255,472",0.343,"87,626.896",FCA (Free Carrier)
,"91,817",0.441,no,Rejected,99.22,GBP,"9,110,082.74",0.125,"1,138,760.343",FAS (Free Alongside Ship)
,"55,663",0.398,no,PartiallyFilled,21.87,TRY,"1,217,349.81",0.4,"486,939.924",CPT (Carriage Paid To)
,"71,725",0.971,no,Filled,98.45,MXN,"7,061,326.25",0.125,"882,665.781",DDP (Delivered Duty Paid)
,"18,851",0.679,no,Filled,81.37,ARS,"1,533,905.87",0.184,"282,238.68",CPT (Carriage Paid To)
,"1,241",0.946,no,Rejected,24.63,AUD,"30,565.83",0.2,"6,113.166",DPU (Delivered at Place Unloaded)
,"19,888",0.187,no,Filled,84.44,ARS,"1,679,342.72",0.254,"426,553.051",CPT (Carriage Paid To)
Robusta coffee,"128,689",,no,,,,,,,
,"47,682",0.958,no,Rejected,11.83,USD,"564,078.06",0.116,"65,433.055",DDP (Delivered Duty Paid)
,"81,007",0.867,no,PartiallyFilled,29.65,CAD,"2,401,857.55",0.135,"324,250.769",DPU (Delivered at Place Unloaded)
Rough Rice,"278,738",,no,,,,,,,
,"73,236",0.244,no,Filled,84.06,MXN,"6,156,218.16",0.337,"2,074,645.52",EXW (Ex Works)
,"98,861",0.852,no,Filled,49.03,EUR,"4,847,154.83",0.373,"1,807,988.752",DAP (Delivered at Place)
,"65,648",0.736,no,Filled,28.49,CAD,"1,870,311.52",0.307,"574,185.637",DAP (Delivered at Place)
,"10,110",0.333,no,Rejected,4.29,TRY,"43,371.9",0.339,"14,703.074",EXW (Ex Works)
,"30,883",0.024,no,Open,30.11,JPY,"929,887.13",0.176,"163,660.135",FCA (Free Carrier)
Soybean Meal,"270,553",,no,,,,,,,
,"96,924",0.255,no,Open,79.72,ARS,"7,726,781.28",0.131,"1,012,208.348",DAP (Delivered at Place)
,"69,520",0.635,no,Rejected,23.87,HKD,"1,659,442.4",0.32,"531,021.568",DPU (Delivered at Place Unloaded)
,"31,099",0.276,no,Rejected,59.54,AUD,"1,851,634.46",0.151,"279,596.803",CPT (Carriage Paid To)
,"73,010",0.468,no,Open,40.14,JPY,"2,930,621.4",0.165,"483,552.531",FCA (Free Carrier)
Soybean Oil,"320,516",,no,,,,,,,
,"84,689",0.059,no,PartiallyFilled,7.66,BRL,"648,717.74",0.187,"121,310.217",DDP (Delivered Duty Paid)
,"68,668",0.033,no,Rejected,11.23,MXN,"771,141.64",0.12,"92,536.997",DAP (Delivered at Place)
,"86,227",0,no,Rejected,37.48,HKD,"3,231,787.96",0.271,"875,814.537",CPT (Carriage Paid To)
,"46,087",0.142,no,Filled,90.59,ARS,"4,175,021.33",0.198,"826,654.223",DAP (Delivered at Place)
,"34,845",0.415,no,Rejected,52.78,CHF,"1,839,119.1",0.133,"244,602.84",CPT (Carriage Paid To)
Soybeans,"797,454",,no,,,,,,,
,"23,149",0.984,no,Rejected,52.63,AUD,"1,218,331.87",0.169,"205,898.086",EXW (Ex Works)
,"72,315",0.501,no,Filled,7.71,GBP,"557,548.65",0.217,"120,988.057",FCA (Free Carrier)
,"83,055",0.402,no,Open,89.87,MXN,"7,464,152.85",0.134,"1,000,196.482",FCA (Free Carrier)
,"98,017",0.672,no,PartiallyFilled,64.77,CAD,"6,348,561.09",0.137,"869,752.869",FCA (Free Carrier)
,"34,094",0.456,no,Rejected,43.36,AUD,"1,478,315.84",0.34,"502,627.386",DDP (Delivered Duty Paid)
,"43,409",0.67,no,Rejected,10.67,BRL,"463,174.03",0.197,"91,245.284",CPT (Carriage Paid To)
,"95,727",0.68,no,Open,27,ARS,"2,584,629",0.335,"865,850.715",DPU (Delivered at Place Unloaded)
,"39,988",0.483,no,Open,65.94,GBP,"2,636,808.72",0.382,"1,007,260.931",FCA (Free Carrier)
,"71,115",0.802,no,PartiallyFilled,70.91,CAD,"5,042,764.65",0.198,"998,467.401",DDP (Delivered Duty Paid)
,"42,704",0.824,no,Open,33.19,USD,"1,417,345.76",0.366,"518,748.548",EXW (Ex Works)
,"20,892",0.543,no,Open,27.37,USD,"571,814.04",0.294,"168,113.328",EXW (Ex Works)
,"18,728",0.967,no,Rejected,64.46,HKD,"1,207,206.88",0.266,"321,117.03",FCA (Free Carrier)
,"81,196",0.451,no,Open,33.15,NZD,"2,691,647.4",0.159,"427,971.937",FCA (Free Carrier)
,"64,305",0.206,no,Filled,72.52,CHF,"4,663,398.6",0.398,"1,856,032.643",CPT (Carriage Paid To)
,"8,760",0.733,no,Rejected,1.35,MXN,"11,826",0.228,"2,696.328",EXW (Ex Works)
Sugar No.11,"560,218",,no,,,,,,,
,"53,713",0.835,no,Open,27.37,AUD,"1,470,124.81",0.148,"217,578.472",FCA (Free Carrier)
,"26,762",0.131,no,Filled,20.38,JPY,"545,409.56",0.153,"83,447.663",DAP (Delivered at Place)
,"66,714",0.848,no,PartiallyFilled,5.84,HKD,"389,609.76",0.321,"125,064.733",EXW (Ex Works)
,"84,660",0.478,no,PartiallyFilled,88.8,GBP,"7,517,808",0.272,"2,044,843.776",DPU (Delivered at Place Unloaded)
,"24,330",0.088,no,Rejected,25.42,AUD,"618,468.6",0.226,"139,773.904",DDP (Delivered Duty Paid)
,"66,699",0.107,no,Open,82.07,EUR,"5,473,986.93",0.338,"1,850,207.582",EXW (Ex Works)
,"60,920",0.402,no,Rejected,74.74,MXN,"4,553,160.8",0.39,"1,775,732.712",EXW (Ex Works)
,"36,062",0.211,no,Rejected,28.14,NZD,"1,014,784.68",0.293,"297,331.911",DDP (Delivered Duty Paid)
,"59,035",0.684,no,Open,79.17,AUD,"4,673,800.95",0.185,"864,653.176",DAP (Delivered at Place)
,"43,783",0.946,no,Filled,84.86,EUR,"3,715,425.38",0.292,"1,084,904.211",FCA (Free Carrier)
,"17,223",0.059,no,Open,22.81,THB,"392,856.63",0.193,"75,821.33",DPU (Delivered at Place Unloaded)
,"20,317",0.531,no,Filled,84.41,THB,"1,714,957.97",0.213,"365,286.048",DPU (Delivered at Place Unloaded)
Sugar No.14,"125,304",,no,,,,,,,
,"67,425",0.813,no,Open,35.33,GBP,"2,382,125.25",0.161,"383,522.165",CPT (Carriage Paid To)
,"4,417",0.182,no,PartiallyFilled,48.06,USD,"212,281.02",0.323,"68,566.769",FAS (Free Alongside Ship)
,"53,462",0.257,no,Rejected,48.29,HKD,"2,581,679.98",0.298,"769,340.634",FCA (Free Carrier)
Wheat,"503,198",,no,,,,,,,
,"43,618",0.112,no,Open,42.72,EUR,"1,863,360.96",0.135,"251,553.73",DPU (Delivered at Place Unloaded)
,"80,858",0.236,no,Open,34.75,GBP,"2,809,815.5",0.185,"519,815.868",EXW (Ex Works)
,"70,263",0.183,no,PartiallyFilled,52.83,EUR,"3,711,994.29",0.232,"861,182.675",EXW (Ex Works)
,"95,515",0.378,no,Open,91.85,CHF,"8,773,052.75",0.176,"1,544,057.284",CPT (Carriage Paid To)
,"77,569",0.09,no,Open,18.18,AUD,"1,410,204.42",0.14,"197,428.619",DDP (Delivered Duty Paid)
,"40,909",0.415,no,Open,6.36,USD,"260,181.24",0.216,"56,199.148",DPU (Delivered at Place Unloaded)
,"33,314",0.465,no,Open,73.87,ARS,"2,460,905.18",0.107,"263,316.854",FCA (Free Carrier)
,"29,319",0.863,no,Rejected,87.03,GBP,"2,551,632.57",0.385,"982,378.539",FAS (Free Alongside Ship)
,"11,674",0.069,no,Rejected,65.34,GBP,"762,779.16",0.24,"183,066.998",EXW (Ex Works)
,"20,159",0.906,no,Filled,22,JPY,"443,498",0.34,"150,789.32",DDP (Delivered Duty Paid)
,"4,917,182",,no,,,,,,,
